Annual Tuition Fees for Arts Program - Full-Time Domestic Students by Economic Development Region,,,,
"BC Public Post-Secondary Institutions, Academic Year (AY) 2011/12 to 2020/21",,,,
Published Date:  December 2020,,,,
,,,,
Year,Sector,Economic Development Region,Institution,Value
AY 2011/12,College,Vancouver Island/Coast,Camosun College,"$2,973"
AY 2011/12,College,Cariboo,College of New Caledonia,"$2,376"
AY 2011/12,College,Kootenay,College of the Rockies,"$2,394"
AY 2011/12,College,Mainland/Southwest,Douglas College,"$2,712"
AY 2011/12,College,Mainland/Southwest,Langara College,"$2,547"
AY 2011/12,College,Vancouver Island/Coast,North Island College,"$2,581"
AY 2011/12,College,North,Northern Lights College,"$2,831"
AY 2011/12,College,North,Coast Mountain College,"$2,432"
AY 2011/12,College,Thompson Okanagan,Okanagan College,"$3,078"
AY 2011/12,College,Kootenay,Selkirk College,"$2,492"
AY 2011/12,College,Mainland/Southwest,Vancouver Community College,"$2,333"
AY 2011/12,Institute,Mainland/Southwest,British Columbia Institute of Technology,"$4,945"
AY 2011/12,Institute,Thompson Okanagan,Nicola Valley Institute of Technology,"$2,239"
AY 2011/12,Teaching Intensive University,Mainland/Southwest,Capilano University,"$3,402"
AY 2011/12,Teaching Intensive University,Mainland/Southwest,Emily Carr University of Art and Design,"$3,572"
AY 2011/12,Teaching Intensive University,Mainland/Southwest,Kwantlen Polytechnic University,"$3,707"
AY 2011/12,Teaching Intensive University,Vancouver Island/Coast,Royal Roads University,"$6,280"
AY 2011/12,Teaching Intensive University,Thompson Okanagan,Thompson Rivers University,"$3,682"
AY 2011/12,Teaching Intensive University,Mainland/Southwest,University of the Fraser Valley,"$3,788"
AY 2011/12,Teaching Intensive University,Vancouver Island/Coast,Vancouver Island University,"$3,859"
AY 2011/12,Research Intensive University,Mainland/Southwest,Simon Fraser University,"$4,914"
AY 2011/12,Research Intensive University,Mainland/Southwest,University of British Columbia,"$4,608"
AY 2011/12,Research Intensive University,Cariboo,University of Northern British Columbia,"$4,629"
AY 2011/12,Research Intensive University,Vancouver Island/Coast,University of Victoria,"$4,862"
AY 2012/13,College,Vancouver Island/Coast,Camosun College,"$3,033"
AY 2012/13,College,Cariboo,College of New Caledonia,"$2,421"
AY 2012/13,College,Kootenay,College of the Rockies,"$2,442"
AY 2012/13,College,Mainland/Southwest,Douglas College,"$2,766"
AY 2012/13,College,Mainland/Southwest,Langara College,"$2,598"
AY 2012/13,College,Vancouver Island/Coast,North Island College,"$2,633"
AY 2012/13,College,North,Northern Lights College,"$2,887"
AY 2012/13,College,North,Coast Mountain College,"$2,481"
AY 2012/13,College,Thompson Okanagan,Okanagan College,"$3,140"
AY 2012/13,College,Kootenay,Selkirk College,"$2,542"
AY 2012/13,College,Mainland/Southwest,Vancouver Community College,"$2,381"
AY 2012/13,Institute,Mainland/Southwest,British Columbia Institute of Technology,"$5,043"
AY 2012/13,Institute,Mainland/Southwest,Justice Institute of British Columbia,"$4,376"
AY 2012/13,Institute,Thompson Okanagan,Nicola Valley Institute of Technology,"$2,284"
